draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
908,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,2200,200
909,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
910,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
911,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
912,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
913,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
914,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
915,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
916,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
917,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
918,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1200,-800
919,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
920,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
921,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
922,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
923,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
924,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
925,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
926,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
927,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
928,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
929,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
930,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
931,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
932,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
933,D_prize_roi_OOS_secondhalf,3,4,0,0,2000,4000,2000
934,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,1600,-400
935,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
