sum,mean,range,std,odd_count,even_count,low_count,high_count,prime_count,consecutive_pair_count,max_consecutive_run,d12,d23,d34,d45,decade_spread,draw_no,date
99,19.8,25,8.565045242145542,3,2,1,4,2,0,1,15,3,3,4,3,462,2008-06-17
85,17.0,11,4.33589667773576,3,2,2,3,2,1,2,1,3,5,2,2,463,2008-06-24
79,15.8,27,9.173875952943773,1,4,2,3,0,0,1,11,4,6,6,3,464,2008-07-01
105,21.0,15,5.253570214625479,3,2,1,4,1,0,1,5,3,4,3,2,465,2008-07-08
99,19.8,14,4.955804677345546,3,2,1,4,2,2,2,1,3,1,9,2,466,2008-07-15
54,10.8,22,8.304215796810677,4,1,4,1,3,1,2,1,11,2,8,3,467,2008-07-22
79,15.8,20,8.23164625090267,3,2,3,2,2,1,2,1,5,11,3,3,468,2008-07-29
61,12.2,14,4.955804677345546,3,2,3,2,2,0,1,4,3,4,3,2,469,2008-08-05
109,21.8,20,7.934733769950949,3,2,2,3,2,1,2,4,7,8,1,3,470,2008-08-12
103,20.6,17,5.748043145279966,3,2,1,4,3,0,1,4,3,3,7,3,471,2008-08-19
77,15.4,17,6.086049621881176,3,2,2,3,1,1,2,11,2,3,1,3,472,2008-08-26
73,14.6,22,8.662563131083086,1,4,2,3,1,1,2,1,13,2,6,3,473,2008-09-02
