number,k_draws_after,reappear_rate,n_obs
18,2,0.13452914798206278,223
18,3,0.14349775784753363,223
18,4,0.15695067264573992,223
18,5,0.16591928251121077,223
18,6,0.15246636771300448,223
18,7,0.17488789237668162,223
18,8,0.15695067264573992,223
18,9,0.13901345291479822,223
18,10,0.2062780269058296,223
18,11,0.15695067264573992,223
18,12,0.18385650224215247,223
18,13,0.13901345291479822,223
18,14,0.15246636771300448,223
18,15,0.15246636771300448,223
18,16,0.11210762331838565,223
18,17,0.17040358744394618,223
18,18,0.15246636771300448,223
18,19,0.17488789237668162,223
18,20,0.13452914798206278,223
18,21,0.12556053811659193,223
18,22,0.13063063063063063,222
18,23,0.16216216216216217,222
18,24,0.14864864864864866,222
18,25,0.16216216216216217,222
18,26,0.19909502262443438,221
18,27,0.1409090909090909,220
18,28,0.15,220
18,29,0.17272727272727273,220
18,30,0.2,220
19,1,0.14285714285714285,245
19,2,0.1680327868852459,244
19,3,0.22950819672131148,244
19,4,0.1762295081967213,244
19,5,0.1721311475409836,244
19,6,0.18442622950819673,244
19,7,0.18442622950819673,244
19,8,0.19262295081967212,244
19,9,0.13934426229508196,244
19,10,0.1557377049180328,244
19,11,0.1557377049180328,244
19,12,0.18032786885245902,244
19,13,0.1721311475409836,244
19,14,0.14754098360655737,244
19,15,0.1680327868852459,244
19,16,0.18442622950819673,244
19,17,0.1762295081967213,244
19,18,0.18442622950819673,244
19,19,0.1680327868852459,244
19,20,0.1885245901639344,244
19,21,0.14754098360655737,244
19,22,0.1728395061728395,243
19,23,0.18930041152263374,243
19,24,0.18518518518518517,243
19,25,0.18181818181818182,242
19,26,0.16115702479338842,242
19,27,0.16115702479338842,242
19,28,0.16597510373443983,241
19,29,0.1950207468879668,241
19,30,0.1908713692946058,241
20,1,0.13617021276595745,235
20,2,0.16595744680851063,235
20,3,0.1581196581196581,234
20,4,0.1623931623931624,234
20,5,0.1452991452991453,234
20,6,0.19230769230769232,234
20,7,0.16666666666666666,234
20,8,0.1459227467811159,233
20,9,0.15450643776824036,233
20,10,0.21551724137931033,232
20,11,0.1896551724137931,232
20,12,0.19827586206896552,232
20,13,0.18614718614718614,231
20,14,0.18181818181818182,231
20,15,0.1645021645021645,231
20,16,0.16017316017316016,231
20,17,0.18181818181818182,231
20,18,0.13043478260869565,230
20,19,0.16956521739130434,230
20,20,0.1782608695652174,230
20,21,0.17391304347826086,230
20,22,0.19130434782608696,230
20,23,0.1615720524017467,229
20,24,0.14912280701754385,228
20,25,0.16228070175438597,228
20,26,0.16228070175438597,228
20,27,0.17105263157894737,228
20,28,0.18421052631578946,228
20,29,0.16666666666666666,228
20,30,0.1762114537444934,227
21,1,0.23553719008264462,242
21,2,0.19421487603305784,242
21,3,0.1322314049586777,242
21,4,0.1487603305785124,242
21,5,0.18181818181818182,242
21,6,0.18181818181818182,242
21,7,0.16942148760330578,242
21,8,0.1446280991735537,242
21,9,0.16942148760330578,242
21,10,0.15289256198347106,242
21,11,0.17355371900826447,242
21,12,0.15289256198347106,242
21,13,0.15289256198347106,242
21,14,0.1487603305785124,242
21,15,0.12396694214876033,242
21,16,0.16942148760330578,242
21,17,0.15702479338842976,242
21,18,0.2024793388429752,242
21,19,0.1825726141078838,241
21,20,0.15416666666666667,240
21,21,0.11666666666666667,240
21,22,0.16666666666666666,240
21,23,0.2125,240
21,24,0.15416666666666667,240
21,25,0.22594142259414227,239
21,26,0.16736401673640167,239
21,27,0.14644351464435146,239
21,28,0.14644351464435146,239
21,29,0.1799163179916318,239
21,30,0.18410041841004185,239
22,1,0.14166666666666666,240
22,2,0.19583333333333333,240
22,3,0.17083333333333334,240
22,4,0.14583333333333334,240
22,5,0.17083333333333334,240
22,6,0.13807531380753138,239
22,7,0.19246861924686193,239
22,8,0.1506276150627615,239
22,9,0.1799163179916318,239
22,10,0.16317991631799164,239
22,11,0.18487394957983194,238
22,12,0.13445378151260504,238
22,13,0.14705882352941177,238
22,14,0.18067226890756302,238
22,15,0.21008403361344538,238
22,16,0.19747899159663865,238
22,17,0.1350210970464135,237
22,18,0.24050632911392406,237
22,19,0.16877637130801687,237
22,20,0.15611814345991562,237
22,21,0.14767932489451477,237
22,22,0.18143459915611815,237
22,23,0.19831223628691982,237
22,24,0.12658227848101267,237
22,25,0.1729957805907173,237
22,26,0.14767932489451477,237
22,27,0.14767932489451477,237
22,28,0.12658227848101267,237
22,29,0.1652542372881356,236
22,30,0.18220338983050846,236
23,1,0.1574468085106383,235
23,2,0.16170212765957448,235
23,3,0.225531914893617,235
23,4,0.20512820512820512,234
23,5,0.19658119658119658,234
23,6,0.19230769230769232,234
23,7,0.20085470085470086,234
23,8,0.1752136752136752,234
23,9,0.17094017094017094,234
23,10,0.1452991452991453,234
23,11,0.19230769230769232,234
23,12,0.20512820512820512,234
23,13,0.16738197424892703,233
23,14,0.1459227467811159,233
23,15,0.1724137931034483,232
23,16,0.15086206896551724,232
23,17,0.16883116883116883,231
23,18,0.15584415584415584,231
23,19,0.20346320346320346,231
23,20,0.16017316017316016,231
23,21,0.12987012987012986,231
23,22,0.16017316017316016,231
23,23,0.1774891774891775,231
23,24,0.15584415584415584,231
23,25,0.18181818181818182,231
23,26,0.16017316017316016,231
23,27,0.19047619047619047,231
23,28,0.14285714285714285,231
23,29,0.16017316017316016,231
23,30,0.20346320346320346,231
24,1,0.17410714285714285,224
24,2,0.14285714285714285,224
24,3,0.16517857142857142,224
24,4,0.14732142857142858,224
24,5,0.16071428571428573,224
24,6,0.15625,224
24,7,0.15178571428571427,224
24,8,0.12946428571428573,224
24,9,0.12053571428571429,224
24,10,0.16964285714285715,224
24,11,0.17410714285714285,224
24,12,0.14732142857142858,224
24,13,0.18303571428571427,224
24,14,0.19730941704035873,223
24,15,0.15695067264573992,223
24,16,0.19282511210762332,223
24,17,0.16143497757847533,223
24,18,0.17040358744394618,223
24,19,0.16143497757847533,223
24,20,0.13901345291479822,223
24,21,0.18385650224215247,223
24,22,0.15695067264573992,223
24,23,0.16666666666666666,222
24,24,0.18468468468468469,222
24,25,0.13963963963963963,222
24,26,0.17567567567567569,222
24,27,0.17567567567567569,222
24,28,0.17117117117117117,222
24,29,0.16666666666666666,222
24,30,0.16666666666666666,222
25,1,0.17647058823529413,221
25,2,0.17194570135746606,221
25,3,0.1409090909090909,220
25,4,0.17272727272727273,220
25,5,0.1409090909090909,220
25,6,0.15,220
25,7,0.15,220
25,8,0.14545454545454545,220
25,9,0.16818181818181818,220
25,10,0.1415525114155251,219
25,11,0.136986301369863,219
25,12,0.1552511415525114,219
25,13,0.1917808219178082,219
25,14,0.1324200913242009,219
25,15,0.1651376146788991,218
25,16,0.19724770642201836,218
25,17,0.10091743119266056,218
25,18,0.13761467889908258,218
25,19,0.12903225806451613,217
25,20,0.16589861751152074,217
25,21,0.1336405529953917,217
25,22,0.16589861751152074,217
25,23,0.12442396313364056,217
25,24,0.17050691244239632,217
25,25,0.15207373271889402,217
25,26,0.13425925925925927,216
25,27,0.1111111111111111,216
25,28,0.14814814814814814,216
25,29,0.14351851851851852,216
25,30,0.16666666666666666,216
26,1,0.12807881773399016,203
26,2,0.14285714285714285,203
26,3,0.12807881773399016,203
26,4,0.1485148514851485,202
26,5,0.14356435643564355,202
26,6,0.19402985074626866,201
26,7,0.16,200
26,8,0.15,200
26,9,0.155,200
26,10,0.135678391959799,199
26,11,0.12562814070351758,199
26,12,0.11557788944723618,199
26,13,0.1306532663316583,199
26,14,0.17587939698492464,199
26,15,0.09547738693467336,199
26,16,0.17587939698492464,199
26,17,0.1658291457286432,199
26,18,0.1507537688442211,199
26,19,0.1306532663316583,199
26,20,0.1457286432160804,199
26,21,0.1507537688442211,199
26,22,0.15577889447236182,199
26,23,0.1306532663316583,199
26,24,0.1306532663316583,199
26,25,0.1507537688442211,199
26,26,0.1407035175879397,199
26,27,0.12562814070351758,199
26,28,0.135678391959799,199
26,29,0.12562814070351758,199
26,30,0.1457286432160804,199
27,1,0.17012448132780084,241
27,2,0.18672199170124482,241
27,3,0.2074688796680498,241
27,4,0.23236514522821577,241
27,5,0.17012448132780084,241
27,6,0.18672199170124482,241
27,7,0.175,240
27,8,0.17916666666666667,240
27,9,0.16666666666666666,240
27,10,0.1799163179916318,239
27,11,0.1589958158995816,239
27,12,0.17154811715481172,239
27,13,0.1799163179916318,239
27,14,0.17573221757322174,239
27,15,0.21008403361344538,238
27,16,0.1638655462184874,238
27,17,0.18907563025210083,238
27,18,0.1638655462184874,238
27,19,0.16455696202531644,237
27,20,0.20253164556962025,237
27,21,0.16033755274261605,237
27,22,0.18565400843881857,237
27,23,0.16877637130801687,237
27,24,0.21940928270042195,237
27,25,0.17721518987341772,237
27,26,0.20253164556962025,237
27,27,0.1308016877637131,237
27,28,0.16877637130801687,237
27,29,0.16877637130801687,237
27,30,0.21940928270042195,237
28,1,0.13901345291479822,223
28,2,0.17488789237668162,223
28,3,0.18385650224215247,223
28,4,0.16591928251121077,223
28,5,0.14349775784753363,223
28,6,0.17040358744394618,223
28,7,0.15246636771300448,223
28,8,0.14798206278026907,223
28,9,0.17040358744394618,223
28,10,0.17040358744394618,223
28,11,0.16143497757847533,223
28,12,0.17567567567567569,222
28,13,0.15315315315315314,222
28,14,0.15384615384615385,221
28,15,0.11312217194570136,221
28,16,0.14027149321266968,221
28,17,0.167420814479638,221
28,18,0.17194570135746606,221
28,19,0.13574660633484162,221
28,20,0.16363636363636364,220
28,21,0.12727272727272726,220
28,22,0.1409090909090909,220
28,23,0.17272727272727273,220
28,24,0.1598173515981735,219
28,25,0.1735159817351598,219
28,26,0.14220183486238533,218
28,27,0.1651376146788991,218
28,28,0.13761467889908258,218
28,29,0.14220183486238533,218
28,30,0.16055045871559634,218
29,1,0.20444444444444446,225
29,2,0.14222222222222222,225
29,3,0.13839285714285715,224
29,4,0.14285714285714285,224
29,5,0.14798206278026907,223
29,6,0.16216216216216217,222
29,7,0.17117117117117117,222
29,8,0.19369369369369369,222
29,9,0.17567567567567569,222
29,10,0.13063063063063063,222
29,11,0.13513513513513514,222
29,12,0.1036036036036036,222
29,13,0.19004524886877827,221
29,14,0.14545454545454545,220
29,15,0.20909090909090908,220
29,16,0.2009132420091324,219
29,17,0.136986301369863,219
29,18,0.1735159817351598,219
29,19,0.1506849315068493,219
29,20,0.1278538812785388,219
29,21,0.14678899082568808,218
29,22,0.1935483870967742,217
29,23,0.16589861751152074,217
29,24,0.18433179723502305,217
29,25,0.1889400921658986,217
29,26,0.15207373271889402,217
29,27,0.17050691244239632,217
29,28,0.2175925925925926,216
29,29,0.15813953488372093,215
29,30,0.15813953488372093,215
30,1,0.17573221757322174,239
30,2,0.21338912133891214,239
30,3,0.200836820083682,239
30,4,0.200836820083682,239
30,5,0.1506276150627615,239
30,6,0.11764705882352941,238
30,7,0.15546218487394958,238
30,8,0.17647058823529413,238
30,9,0.16033755274261605,237
30,10,0.16877637130801687,237
30,11,0.20253164556962025,237
30,12,0.18565400843881857,237
30,13,0.15611814345991562,237
30,14,0.18143459915611815,237
30,15,0.15611814345991562,237
30,16,0.17372881355932204,236
30,17,0.15677966101694915,236
30,18,0.16101694915254236,236
30,19,0.1652542372881356,236
30,20,0.13135593220338984,236
30,21,0.1694915254237288,236
30,22,0.1652542372881356,236
30,23,0.17872340425531916,235
30,24,0.17872340425531916,235
30,25,0.18723404255319148,235
30,26,0.1702127659574468,235
30,27,0.21367521367521367,234
30,28,0.19658119658119658,234
30,29,0.18376068376068377,234
30,30,0.13675213675213677,234
31,1,0.16733067729083664,251
31,2,0.1752988047808765,251
31,3,0.14342629482071714,251
31,4,0.18,250
31,5,0.192,250
31,6,0.192,250
31,7,0.1927710843373494,249
31,8,0.1975806451612903,248
31,9,0.20967741935483872,248
31,10,0.16194331983805668,247
31,11,0.2032520325203252,246
31,12,0.18699186991869918,246
31,13,0.21138211382113822,246
31,14,0.2032520325203252,246
31,15,0.17886178861788618,246
31,16,0.18292682926829268,246
31,17,0.1951219512195122,246
31,18,0.15510204081632653,245
31,19,0.21721311475409835,244
31,20,0.1728395061728395,243
31,21,0.205761316872428,243
31,22,0.2024793388429752,242
31,23,0.1825726141078838,241
31,24,0.1908713692946058,241
31,25,0.18672199170124482,241
31,26,0.17842323651452283,241
31,27,0.20416666666666666,240
31,28,0.2217573221757322,239
31,29,0.16317991631799164,239
31,30,0.16317991631799164,239
