num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period
11,30,17,7.548387096774194,2.2521367521367517,1.531055900621118,0.0023298313880942677,q2
11,31,7,7.548387096774194,0.9273504273504273,0.595,1.0,q2
12,13,10,7.548387096774194,1.3247863247863247,1.147086031452359,0.35315791020466714,q2
12,14,9,7.548387096774194,1.192307692307692,0.9161451814768461,0.5772107413890271,q2
12,15,5,7.548387096774194,0.6623931623931624,0.4375453885257807,0.4605283765634254,q2
12,16,10,7.548387096774194,1.3247863247863247,1.1767485822306238,0.35315791020466714,q2
12,17,12,7.548387096774194,1.5897435897435899,1.5151515151515151,0.13530517452715526,q2
12,18,7,7.548387096774194,0.9273504273504273,0.8850174216027874,1.0,q2
12,19,10,7.548387096774194,1.3247863247863247,0.9277950310559007,0.35315791020466714,q2
12,20,13,7.548387096774194,1.722222222222222,1.3192389006342495,0.06128009786972832,q2
12,21,8,7.548387096774194,1.0598290598290598,0.8794326241134752,0.8525964477576938,q2
12,22,6,7.548387096774194,0.7948717948717949,0.48,0.713291991792435,q2
12,23,6,7.548387096774194,0.7948717948717949,0.5236363636363637,0.713291991792435,q2
12,24,12,7.548387096774194,1.5897435897435899,1.4390715667311411,0.13530517452715526,q2
12,25,8,7.548387096774194,1.0598290598290598,0.7973856209150327,0.8525964477576938,q2
12,26,7,7.548387096774194,0.9273504273504273,0.7936507936507936,1.0,q2
12,27,5,7.548387096774194,0.6623931623931624,0.4375453885257807,0.4605283765634254,q2
12,28,5,7.548387096774194,0.6623931623931624,0.4921968787515006,0.4605283765634254,q2
12,29,4,7.548387096774194,0.5299145299145299,0.3680241327300151,0.2654538030170721,q2
12,30,14,7.548387096774194,1.8547008547008546,1.3333333333333333,0.02555536229162719,q2
12,31,4,7.548387096774194,0.5299145299145299,0.35123367198838895,0.2654538030170721,q2
13,14,4,7.548387096774194,0.5299145299145299,0.32075471698113206,0.2654538030170721,q2
13,15,8,7.548387096774194,1.0598290598290598,0.7779111644657863,0.8525964477576938,q2
13,16,7,7.548387096774194,0.9273504273504273,0.7,1.0,q2
13,17,6,7.548387096774194,0.7948717948717949,0.5605536332179931,0.713291991792435,q2
13,18,5,7.548387096774194,0.6623931623931624,0.5612701252236136,0.4605283765634254,q2
13,19,11,7.548387096774194,1.4572649572649572,1.0391304347826087,0.19505962118243958,q2
13,20,10,7.548387096774194,1.3247863247863247,0.8657373440939105,0.35315791020466714,q2
13,21,12,7.548387096774194,1.5897435897435899,1.5565891472868216,0.13530517452715526,q2
13,22,6,7.548387096774194,0.7948717948717949,0.46859421734795614,0.713291991792435,q2
13,23,12,7.548387096774194,1.5897435897435899,1.3333333333333333,0.13530517452715526,q2
13,24,5,7.548387096774194,0.6623931623931624,0.42735042735042733,0.4605283765634254,q2
13,25,11,7.548387096774194,1.4572649572649572,1.2255434782608696,0.19505962118243958,q2
13,26,7,7.548387096774194,0.9273504273504273,0.7746666666666666,1.0,q2
13,27,12,7.548387096774194,1.5897435897435899,1.401418439716312,0.13530517452715526,q2
13,28,7,7.548387096774194,0.9273504273504273,0.7357446808510638,1.0,q2
13,29,6,7.548387096774194,0.7948717948717949,0.5882352941176471,0.713291991792435,q2
13,30,10,7.548387096774194,1.3247863247863247,0.7801418439716312,0.35315791020466714,q2
13,31,7,7.548387096774194,0.9273504273504273,0.6832,1.0,q2
14,15,9,7.548387096774194,1.192307692307692,0.8505882352941176,0.5772107413890271,q2
14,16,4,7.548387096774194,0.5299145299145299,0.3282967032967033,0.2654538030170721,q2
14,17,8,7.548387096774194,1.0598290598290598,0.7598116169544741,0.8525964477576938,q2
14,18,5,7.548387096774194,0.6623931623931624,0.5243128964059197,0.4605283765634254,q2
14,19,5,7.548387096774194,0.6623931623931624,0.34277198211624443,0.4605283765634254,q2
14,20,9,7.548387096774194,1.192307692307692,0.6939182452642074,0.5772107413890271,q2
14,21,5,7.548387096774194,0.6623931623931624,0.4381818181818182,0.4605283765634254,q2
14,22,10,7.548387096774194,1.3247863247863247,0.8581818181818182,0.35315791020466714,q2
14,23,8,7.548387096774194,1.0598290598290598,0.690856313497823,0.8525964477576938,q2
14,24,13,7.548387096774194,1.722222222222222,1.473172987974098,0.06128009786972832,q2
14,25,13,7.548387096774194,1.722222222222222,1.473172987974098,0.06128009786972832,q2
14,26,12,7.548387096774194,1.5897435897435899,1.56875,0.13530517452715526,q2
