num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period,p_bonf,sig_bonf,p_holm,sig_holm,p_fdr,sig_fdr
8,21,34,30.193548387096776,1.1260683760683758,0.9671474358974359,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
8,22,29,30.193548387096776,0.9604700854700853,0.7873051530011232,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
8,23,26,30.193548387096776,0.861111111111111,0.7018812527185733,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
8,24,30,30.193548387096776,0.9935897435897435,0.9062574922081036,1.0,full,1.0,False,1.0,False,1.0,False
8,25,22,30.193548387096776,0.7286324786324786,0.6160245672808486,0.1409449631431578,full,1.0,False,1.0,False,0.840248818738056,False
8,26,26,30.193548387096776,0.861111111111111,0.855482794042116,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
8,27,32,30.193548387096776,1.0598290598290598,0.8943428088938925,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
8,28,33,30.193548387096776,1.0929487179487178,1.0400498287137963,0.5804212529492752,full,1.0,False,1.0,False,0.9338957876173459,False
8,29,26,30.193548387096776,0.861111111111111,0.7445751484696208,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
8,30,29,30.193548387096776,0.9604700854700853,0.7918524635287641,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
8,31,33,30.193548387096776,1.0929487179487178,0.876469157817946,0.5804212529492752,full,1.0,False,1.0,False,0.9338957876173459,False
9,10,24,30.193548387096776,0.7948717948717949,0.6155925155925156,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
9,11,34,30.193548387096776,1.1260683760683758,0.8064532019704433,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
9,12,19,30.193548387096776,0.6292735042735043,0.5424731182795699,0.04209445570616836,full,1.0,False,1.0,False,0.7528447821894237,False
9,13,30,30.193548387096776,0.9935897435897435,0.9034146924386819,1.0,full,1.0,False,1.0,False,1.0,False
9,14,38,30.193548387096776,1.2585470085470085,1.0483785220627326,0.16615843884076675,full,1.0,False,1.0,False,0.8490513633072146,False
9,15,29,30.193548387096776,0.9604700854700853,0.9848875661375661,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
9,16,24,30.193548387096776,0.7948717948717949,0.6120263804474331,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
9,17,21,30.193548387096776,0.6955128205128205,0.555718085106383,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
9,18,28,30.193548387096776,0.9273504273504273,0.793313500495821,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
9,19,34,30.193548387096776,1.1260683760683758,0.9060528097494922,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
9,20,21,30.193548387096776,0.6955128205128205,0.5120550805329092,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
9,21,32,30.193548387096776,1.0598290598290598,0.8479956954533225,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
9,22,32,30.193548387096776,1.0598290598290598,0.8578878748370273,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
9,23,28,30.193548387096776,0.9273504273504273,0.7383564203165452,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
9,24,25,30.193548387096776,0.8279914529914529,0.6800305877212147,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
9,25,26,30.193548387096776,0.861111111111111,0.7285974499089253,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
9,26,28,30.193548387096776,0.9273504273504273,0.901657458563536,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
9,27,29,30.193548387096776,0.9604700854700853,0.7470387840670859,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
9,28,18,30.193548387096776,0.596153846153846,0.4551142893627889,0.021209118020324956,full,1.0,False,1.0,False,0.7528447821894237,False
9,29,39,30.193548387096776,1.2916666666666665,1.2444971537001897,0.11655045230135694,full,1.0,False,1.0,False,0.7969994164725144,False
9,30,31,30.193548387096776,1.0267094017094016,0.8264098962834918,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
